Unnamed: 0,source_node,destination_node
174,54,946584
175,54,867555
176,54,1757684
177,54,237014
178,54,127561
179,54,766708
180,54,978393
181,54,1844797
182,54,1834300
183,54,494483
184,54,1101058
185,54,761994
186,54,679014
187,54,609116
188,54,577031
189,54,1786857
190,54,1194176
191,54,1130353
192,54,444771
193,54,1336174
194,54,230597
195,55,279010
196,55,1007648
197,55,13589
198,56,1707687
199,56,1429792
200,57,373871
201,58,916140
202,59,1389095
203,59,1778028
204,60,83366
205,60,878202
206,60,1168174
207,60,296792
208,61,1685730
209,61,871534
210,61,1705344
211,61,208925
212,61,1737228
213,61,1031786
214,61,1286823
215,61,260181
216,61,1408376
217,61,803963
218,61,1483341
219,61,1499185
220,61,122289
221,61,1473016
222,61,1740009
223,61,89946
224,61,817445
225,62,1822914
226,62,1601368
227,62,402932
228,63,268939
229,63,1788531
230,63,1630186
231,63,1330009
232,63,1765456
233,63,1382381
234,63,758777
235,63,258969
236,63,1732515
237,63,732009
238,63,1168913
239,63,259286
240,64,1709106
241,64,1313246
242,64,947828
243,65,602159
244,65,1812382
245,65,171318
246,65,442729
247,65,76799
248,65,1705481
249,65,1119900
250,65,1156069
251,65,880042
252,65,1673827
253,65,1454964
254,65,341285
255,65,1405545
256,65,557790
257,65,1774222
258,65,717601
259,66,1741841
260,66,1672048
261,67,566600
262,67,451245
263,67,1541531
264,68,1752782
265,68,1045772
266,69,131924
267,70,871386
268,71,746824
269,71,1854232
270,71,1575746
271,71,1315204
272,71,1674297
273,71,1300876
274,71,1105698
275,72,1756934
276,73,611306
277,73,489181
278,73,217164
279,73,471806
280,73,202447
281,74,1061504
282,74,1434864
283,74,1709589
284,74,1704181
285,74,370494
286,74,237909
287,74,720583
288,74,1400239
289,74,142356
290,74,1576900
291,74,1481411
292,75,1145079
293,75,1247899
294,75,512330
295,75,1102064
296,75,56206
297,75,13121
298,76,1183714
299,78,1400162
300,79,1595558
301,79,419087
302,79,1181051
303,79,459884
304,79,1716876
305,79,253105
306,79,792819
307,79,973169
308,79,348828
309,79,1444240
310,79,609109
311,79,783907
312,79,906140
313,79,1041727
314,79,756378
315,80,361048
316,81,1022657
317,81,997656
318,81,380597
319,81,1698750
320,81,1738080
321,81,1490625
322,81,869268
323,81,719978
324,81,711543
325,81,167186
326,81,276421
327,81,98471
328,81,980119
329,81,1813867
330,81,1398225
331,81,1600230
332,82,611092
333,82,112566
334,82,288597
335,83,1521498
336,83,19406
337,83,1768082
338,83,1711525
339,84,628304
340,84,1831501
341,84,495318
342,84,344428
343,84,219656
344,84,1812006
345,84,489480
346,84,1182549
347,84,946366
348,84,164496
349,84,941898
350,84,447831
351,84,1362510
352,84,1354719
353,84,1498955
354,84,1125968
355,84,244887
356,84,636422
357,84,751223
358,84,1354664
359,84,597299
360,86,907649
361,87,1194997
362,87,1003093
363,87,109627
364,87,1854354
365,87,454942
366,87,521421
367,87,1159153
368,87,508650
369,87,231172
370,87,1234791
371,87,441051
372,87,3347
373,87,295799
374,87,80780
375,87,1184475
376,88,201540
377,89,948959
378,89,878526
379,89,1755151
380,89,1820119
381,89,412572
382,89,436243
383,89,1436178
384,89,236707
385,89,874621
386,89,704901
387,89,1024220
388,89,627987
389,91,800472
390,93,232270
391,94,1571211
392,94,785283
393,95,236966
394,96,453195
395,98,472174
396,98,1144628
397,99,237694
398,99,1723995
399,99,582267
400,101,1058638
401,102,124268
402,102,429822
403,102,837022
404,102,531989
405,102,793303
406,104,644509
407,105,1625115
408,105,578479
409,105,566519
410,105,45974
411,105,1154097
412,105,1766921
413,105,1407805
414,105,1418762
415,105,1391542
416,106,266064
417,106,1122174
418,106,1784331
419,106,1266933
420,106,237219
421,107,615816
422,107,1321486
423,107,933251
424,107,486260
425,108,358350
426,109,1003858
427,110,412863
428,111,184581
429,111,1519665
430,111,297069
431,111,1276690
432,111,1390248
433,111,1226594
434,111,1850951
435,111,1723555
436,111,1178224
437,111,1847174
438,111,468743
439,111,524048
440,111,233077
441,111,1724509
442,111,1861931
443,111,1121338
444,111,1382582
445,111,1384121
446,111,806470
447,111,1233289
448,111,1775946
449,111,1850147
450,111,648943
451,111,1273025
452,111,671541
453,111,747365
454,111,175669
455,112,675562
456,112,821470
457,113,547644
458,115,1270945
459,116,1394223
460,117,245746
461,117,1315537
462,117,323398
463,117,259972
464,117,1618429
465,117,296239
466,117,981622
467,117,1452096
468,117,185553
469,117,416110
470,117,1082885
471,117,1519107
472,117,1405921
473,118,146690
474,118,707932
475,119,1495706
476,119,255000
477,119,852555
478,119,809936
479,119,875039
480,119,93610
481,119,86004
482,119,779396
483,119,327613
484,119,1293375
485,119,261599
486,120,862294
487,121,103376
488,121,487812
489,121,385535
490,121,508962
491,122,1739931
492,122,862700
493,122,1405347
494,122,1500867
495,122,1171449
496,122,581797
497,122,252892
498,122,1049126
499,122,1638581
500,122,1586443
501,122,1687614
502,122,1502201
503,122,113017
504,122,1032567
505,122,603098
506,122,1601261
507,122,1789585
508,122,1757805
509,122,922781
510,122,721778
511,122,1646238
512,122,1163641
513,122,1418295
514,123,525674
515,125,1254433
516,125,30404
517,125,1171122
518,125,344575
519,125,652927
520,125,666374
521,125,671301
522,125,1824545
523,125,199458
524,125,1608293
525,125,1304583
526,125,134946
527,126,193651
528,127,580880
529,127,880649
530,127,1049839
531,127,1612915
532,127,1073850
533,127,178165
534,128,857471
535,130,499097
536,130,282933
537,130,904365
538,130,953250
539,130,202772
540,130,485035
541,130,4072
542,130,1570182
543,132,1730988
544,132,482928
545,132,982571
546,133,1210717
547,133,1336080
548,133,37527
549,133,819390
550,133,345681
551,133,1101843
552,133,1325424
553,135,612535
554,135,593597
555,135,1166489
556,135,1746180
557,135,168795
558,135,347708
559,135,36562
560,135,428269
561,135,161908
562,135,717660
563,135,684382
564,135,1146696
565,135,1623787
566,135,839774
567,135,100378
568,135,71740
569,135,1498540
570,135,808799
571,135,1647182
572,135,1578593
573,135,1025388
574,135,1769211
575,135,956320
576,135,1643728
577,135,925682
578,135,564165
579,135,951962
580,135,962111
581,135,969308
582,135,607835
583,135,1832076
584,135,508098
585,135,1084361
586,135,618863
587,135,1646757
588,135,1617835
589,135,250674
590,135,1465671
591,135,491567
592,135,740672
593,135,1231569
594,135,953125
595,135,242147
596,135,1835285
597,135,1844669
598,135,822004
599,135,506857
600,136,433374
601,136,1527751
602,136,1222229
603,136,1541805
604,136,1483192
605,136,1721537
606,136,61698
607,136,1427267
608,136,754689
609,136,1146329
610,137,1768787
611,138,479543
612,138,1007606
613,139,1102059
614,139,1364631
615,140,1122310
616,140,100170
617,140,625577
618,141,368227
619,142,694465
620,142,1068238
621,143,1608536
622,143,29868
623,143,30678
624,143,20832
625,143,385744
626,143,1003694
627,143,1784446
628,143,283299
629,143,1579486
630,145,1790320
631,146,44123
632,146,1804972
633,146,882846
634,146,1829224
635,147,775423
636,147,1065996
637,148,1315276
638,148,1165746
639,148,143737
640,148,1773940
641,148,679568
642,149,1165815
643,150,1455822
644,151,1741895
645,152,1319086
646,152,629024
647,152,150431
648,152,1760659
649,152,1536764
650,152,588919
651,152,376997
652,152,1675448
653,152,936670
654,153,527826
655,153,166580
656,153,626388
657,153,1045001
658,154,1273853
659,154,962460
660,154,93121
661,154,1304780
662,154,380280
663,154,736969
664,154,767212
665,154,591467
666,154,1857731
667,154,27544
668,154,1812401
669,154,652098
670,154,1823990
671,154,813453
672,154,1714716
673,154,296977
674,154,1739769
675,154,248243
676,154,1359304
677,154,280203
678,154,26862
679,154,496603
680,154,1030041
681,154,1088677
682,154,371906
683,154,745099
684,154,1269699
685,154,1622333
686,154,1534571
687,154,830762
688,154,667918
689,154,234148
690,154,1692748
691,154,1271971
692,154,908717
693,154,505050
694,154,1081991
695,155,611954
696,155,990325
697,155,1594405
698,155,391505
699,155,1259916
700,155,50571
701,156,332995
702,156,1474531
703,156,1709921
704,156,1118944
705,156,1164808
706,156,1365638
707,157,1110246
708,159,217322
709,160,873150
710,160,504273
711,160,935558
712,160,1080124
713,160,1065503
714,160,1223149
715,161,612043
716,161,1542729
717,163,1579539
718,163,1614761
719,163,1772229
720,163,1746941
721,163,742658
722,163,928359
723,163,705565
724,163,1533384
725,163,315604
726,163,810753
727,163,1294153
728,164,1478790
729,164,1188073
730,164,1847742
731,165,139728
732,166,1281467
733,166,536060
734,166,663272
735,167,597139
736,168,952523
737,168,1063176
738,168,204709
739,168,942370
740,168,1608317
741,168,1149931
742,168,1166908
743,170,930854
744,170,177989
745,170,789700
746,170,1778092
747,170,509793
748,170,1861582
749,170,1252327
750,170,1672986
751,170,705856
752,170,676802
753,170,545836
754,170,358857
755,171,652545
756,171,495157
757,171,956716
758,171,1784396
759,171,665233
760,171,1773998
761,171,124205
762,171,1686016
763,171,167372
764,171,1072213
765,171,1210546
766,171,382635
767,171,391144
768,171,1405597
769,171,1622184
770,171,429565
771,171,1262028
772,171,651379
773,171,1131806
774,171,183303
775,171,1730708
776,171,255580
777,171,597356
778,171,1071272
779,171,143917
780,171,1170552
781,171,1471278
782,171,1756610
783,171,127181
784,171,1571476
785,171,1267832
786,171,1825254
787,171,927274
788,171,912681
789,171,799586
790,171,187805
791,171,1400484
792,171,864239
793,172,4769
794,172,906059
795,172,372997
796,172,1208963
797,172,346991
798,172,1172153
799,172,161309
800,172,200086
801,172,642842
802,172,153393
803,172,625473
804,172,1453902
805,172,703254
806,172,1591526
807,172,94719
808,172,1851039
809,172,1556441
810,172,1359168
811,172,1233403
812,172,891719
813,174,1454201
814,175,262454
815,175,945369
816,175,979716
817,176,1410138
818,177,1337513
819,178,185820
820,178,31865
821,178,336157
822,179,1483220
823,179,271130
824,179,1084031
825,179,861489
826,179,781383
827,179,1228513
828,179,1567328
829,179,96588
830,179,1497030
831,179,462643
832,179,330270
833,179,1786977
834,179,310769
835,179,232801
836,179,1503576
837,179,486560
838,179,707486
839,179,934657
840,179,529357
841,180,1272584
842,181,541439
843,181,337912
844,181,409469
845,181,446899
846,181,1673573
847,182,24725
848,182,1418688
849,183,455180
850,185,1357074
851,186,1265993
852,186,327167
853,186,711951
854,186,83430
855,186,1442515
856,186,311232
857,186,974920
858,186,699686
859,186,236128
860,186,388013
861,186,1631284
862,186,1458006
863,188,153986
864,189,1749543
865,190,64429
866,190,1048960
867,190,526223
868,190,1289987
869,190,271006
870,190,1285203
871,191,683870
872,191,585770
873,191,1157784
874,191,1414695
875,191,572524
876,192,1009108
877,192,576042
878,192,1193622
879,192,1519661
880,192,1032428
881,192,1566459
882,192,1152050
883,192,1370403
884,192,377436
885,192,1725345
886,192,395920
887,192,1272965
888,192,135660
889,192,13971
890,192,656285
891,192,128661
892,192,1466700
893,192,1289600
894,192,1524820
895,192,144188
896,192,1654697
897,193,6569
898,193,1677350
899,193,1026303
900,193,479169
901,193,1611937
902,193,1571677
903,193,1153484
904,193,704075
905,193,781535
906,193,659531
907,193,1760872
908,194,1561139
909,195,316120
910,195,667575
911,197,1682373
912,197,500407
913,197,1125507
914,197,1423204
915,197,257310
916,197,916907
917,198,1186809
918,199,157525
919,200,860695
920,201,625238
921,202,684918
922,202,1759109
923,202,1127522
924,202,427502
925,203,1388870
926,203,974831
927,203,1628507
928,203,252539
929,203,917890
930,204,119966
931,204,541063
932,205,1006837
933,205,946356
934,205,66945
935,205,1469189
936,206,964836
937,206,1559022
938,206,1353017
939,206,1075632
940,206,1467586
941,206,1058463
942,206,292683
943,207,848686
944,207,1468946
945,207,1086203
946,207,495569
947,207,229654
948,207,1668614
949,207,55206
950,208,779848
951,209,1605441
952,209,1680525
953,209,766605
954,209,1532595
955,209,1677577
956,211,479718
957,211,771626
958,211,854473
959,211,888971
960,211,1791428
961,211,1376720
962,211,1605669
963,211,1562874
964,211,319655
965,211,1756947
966,212,1145629
967,212,791075
968,212,404628
969,212,137141
970,212,1691472
971,213,1650053
972,213,1850048
973,213,479034
974,213,1365529
975,213,1709815
976,214,595373
977,214,837744
978,214,472064
979,214,290758
980,214,838744
981,214,1383691
982,214,23720
983,214,929669
984,214,271427
985,215,1310257
986,216,1780520
987,216,29376
988,216,1352408
989,216,18447
990,216,385559
991,216,850654
992,216,863514
993,216,1239300
994,216,995717
995,216,1805592
996,216,1216771
997,216,1198938
998,216,530173
999,216,1287580
1000,216,1364944
1001,216,1422171
1002,217,1768657
1003,217,1262685
1004,217,740270
1005,217,709782
1006,217,389210
1007,217,1149321
1008,217,1049597
1009,217,734875
1010,217,134693
1011,217,412866
1012,217,1838279
1013,217,445658
1014,218,1571290
1015,218,328433
1016,218,996482
1017,218,1561515
1018,220,15031
1019,220,1545410
1020,220,1272905
1021,221,965179
1022,221,583976
1023,221,954157
1024,221,504576
1025,221,1138715
1026,221,1819109
1027,221,298417
1028,221,725534
1029,221,585932
1030,221,325630
1031,221,114784
1032,221,1722695
1033,221,1589542
1034,222,830593
1035,222,470086
1036,222,345079
1037,222,1562613
1038,222,661801
1039,222,413785
1040,223,452308
1041,223,865391
1042,223,927520
1043,223,1264682
1044,223,193424
1045,224,36025
1046,224,1725428
1047,224,1581414
1048,224,344229
1049,224,1098049
1050,225,141303
1051,226,1775565
1052,227,890393
1053,228,553383
1054,228,735906
1055,229,228694
1056,230,28716
1057,231,1313727
1058,231,712350
1059,231,1567186
1060,231,409184
1061,232,1676472
1062,232,826109
1063,232,1410502
1064,233,191939
1065,233,1207839
1066,233,1199289
1067,233,1068979
1068,233,1433958
1069,233,112180
1070,233,1294615
1071,233,842155
1072,233,1345362
1073,233,349427
1074,233,1384454
1075,233,517415
1076,233,1615530
1077,233,706154
1078,233,1762975
1079,233,1007030
1080,235,1159680
1081,235,1607021
1082,235,1418733
1083,235,1389734
1084,235,450932
1085,235,1495745
1086,236,1087808
1087,237,522469
1088,237,824332
1089,237,235080
1090,237,435322
1091,238,1532470
1092,239,887528
1093,240,1256442
1094,240,203468
1095,241,1783742
1096,242,461184
1097,243,1306997
1098,243,1037278
1099,243,791952
1100,244,972749
1101,245,122592
1102,245,630210
1103,245,331420
1104,245,1139892
1105,245,356243
1106,246,200336
1107,246,1769465
1108,246,843402
1109,246,1174365
1110,246,236946
1111,246,1785054
1112,246,1065902
1113,246,1823419
1114,246,988272
1115,246,1841272
1116,246,228803
1117,247,964099
1118,247,1146352
1119,248,1407457
1120,249,1576535
1121,249,927703
1122,250,285640
1123,250,1079773
1124,250,30241
1125,250,815102
1126,250,1785953
1127,250,838357
1128,250,225102
1129,250,526525
1130,250,817461
1131,250,41402
1132,250,471395
1133,250,229007
1134,250,711789
1135,250,1786807
1136,250,1545088
1137,250,1782386
1138,250,81077
1139,250,1722491
1140,250,1504644
1141,250,1558315
1142,250,1487564
1143,251,791394
1144,252,1077020
1145,252,148837
1146,254,349053
1147,254,470115
1148,254,1448759
1149,254,1775373
1150,254,209070
1151,254,1215881
1152,254,265727
1153,254,631803
1154,255,1664237
1155,255,563590
1156,255,603430
1157,255,1568960
1158,255,770356
1159,255,1556592
1160,255,847866
1161,255,90622
1162,256,1220220
1163,257,488019
1164,258,1492973
1165,259,494654
1166,260,931436
1167,260,1564939
1168,260,1348083
1169,261,1773867
1170,261,55348
1171,261,522055
1172,261,4928
1173,261,1451375
1174,261,1387538
1175,261,1204992
1176,261,565046
1177,261,846510
1178,262,256404
1179,262,1227689
1180,263,1654412
1181,263,421317
1182,263,1616653
1183,263,669631
1184,263,887117
1185,263,1041408
1186,263,840136
1187,263,1246638
1188,263,845010
1189,263,1764686
1190,263,1296639
1191,264,1231469
1192,264,680408
1193,264,1493855
1194,264,1067021
1195,265,1811207
1196,265,1371236
1197,265,934833
1198,265,593352
1199,266,57381
1200,266,1488351
1201,266,670310
1202,266,71115
1203,266,829030
1204,266,1205899
1205,266,1246903
1206,266,80460
1207,266,1369827
1208,266,958300
1209,267,735294
1210,268,174072
1211,268,218210
1212,268,750830
1213,270,1259775
1214,270,1737866
1215,270,636305
1216,270,1094239
1217,270,1791142
1218,270,1295961
1219,271,1262528
1220,272,240886
1221,272,1718751
1222,272,299272
1223,272,1462334
1224,272,370679
1225,272,1429157
1226,272,209511
1227,272,1300437
1228,272,127502
1229,272,711458
1230,272,832375
1231,272,1529630
1232,272,1798719
1233,272,1415192
1234,272,46966
1235,272,1367610
1236,272,1583436
1237,272,832369
1238,273,786273
1239,275,792823
1240,276,863671
1241,276,413132
1242,276,1708512
1243,277,1241727
1244,277,1843969
1245,277,335272
1246,277,1182084
1247,278,1099033
1248,278,647507
1249,278,1589452
1250,280,907513
1251,280,1746104
1252,280,221675
1253,280,1621155
1254,280,1055545
1255,280,1114472
1256,280,1622823
1257,280,1246304
1258,280,614404
1259,280,1501705
1260,280,561074
1261,280,132291
1262,280,1336892
1263,280,1518834
1264,281,118601
1265,281,1042773
1266,282,1208262
1267,283,1223876
1268,284,546589
1269,284,45551
1270,284,1531593
1271,284,522253
1272,284,752135
1273,284,1294980
1274,284,18904
1275,284,867049
1276,285,1127389
1277,285,762538
1278,285,436260
1279,285,246823
1280,285,257274
1281,285,242987
1282,285,1397386
1283,285,45416
1284,285,800431
1285,285,1219567
1286,285,440787
1287,285,893951
1288,285,613950
1289,286,638974
1290,286,578395
1291,286,747611
1292,287,1280029
1293,287,131328
1294,287,1750751
1295,287,1598364
1296,287,221722
1297,288,1037084
1298,288,62917
1299,288,557667
1300,290,853032
1301,290,815322
1302,290,112035
1303,290,1059909
1304,290,518439
1305,291,1789650
1306,292,1268477
1307,292,1438670
1308,293,1465292
1309,295,997433
1310,295,650389
1311,295,379611
1312,295,19501
1313,295,1645471
1314,295,1392857
1315,295,1836017
1316,295,341893
1317,295,609274
1318,295,884316
1319,295,1435258
1320,295,661022
1321,295,2532
1322,295,1111940
1323,295,1505732
1324,296,1558398
1325,298,1179415
1326,299,1108226
1327,299,1471590
1328,299,1005469
1329,300,1570046
1330,300,1745621
1331,300,1164582
1332,303,842902
1333,303,1212758
1334,303,259508
1335,303,905457
1336,303,918936
1337,303,1759411
1338,303,626730
1339,303,1807423
1340,303,452523
1341,304,1083361
1342,304,1672110
1343,304,826473
1344,304,1375008
1345,304,1239625
1346,304,1125415
1347,304,1494111
1348,304,563487
1349,305,869471
1350,305,822375
1351,305,158777
1352,305,1330730
1353,305,1669413
1354,305,1166919
1355,306,218441
1356,307,834501
1357,307,1034990
1358,307,634999
1359,307,482298
1360,308,1708691
1361,308,721750
1362,308,1479991
1363,308,1305690
1364,308,1353812
1365,308,1314794
1366,308,602454
1367,308,1849845
1368,308,209853
1369,309,1589276
1370,309,665894
1371,309,943952
1372,309,133318
1373,309,1129038
1374,309,706142
1375,309,1786911
1376,309,209632
1377,309,1855885
1378,310,866471
1379,311,813173
1380,312,474653
1381,312,723393
1382,312,97764
1383,312,189962
1384,312,214645
1385,312,1627254
1386,312,537514
1387,313,360786
1388,313,248301
1389,313,411106
1390,313,216214
1391,313,1364338
1392,313,26413
1393,313,267162
1394,314,1739128
1395,314,478671
1396,314,736642
1397,314,333472
1398,314,800270
1399,314,1731636
1400,314,431108
1401,314,628587
1402,314,1281667
1403,314,1747154
1404,314,459134
1405,314,1414845
1406,314,710839
1407,314,852982
1408,314,1033457
1409,314,1683562
1410,314,1101308
1411,314,490228
1412,314,717708
1413,314,1074564
1414,314,1343879
1415,314,482024
1416,314,85092
1417,314,1202518
1418,314,1174403
1419,314,729399
1420,314,556490
1421,315,345678
1422,316,1121934
1423,317,1668803
1424,317,663029
1425,317,18728
1426,317,1172935
1427,317,729324
1428,317,774035
1429,318,1197131
1430,318,1578279
1431,318,1740160
1432,319,1827712
1433,320,1731062
1434,320,1142115
1435,320,1633888
1436,320,479193
1437,320,424172
1438,320,40333
1439,320,1016286
1440,320,1246872
1441,320,1349963
1442,320,1264771
1443,320,116467
1444,320,926722
1445,320,855210
1446,320,1646153
1447,320,159981
1448,320,107698
1449,320,636752
1450,321,1077771
1451,321,1240358
1452,321,967349
1453,321,493104
1454,322,730500
1455,322,823381
1456,322,828505
1457,323,1856053
1458,323,818296
1459,323,462875
1460,323,1420551
1461,324,480627
1462,324,355812
1463,325,1153197
1464,326,949304
1465,326,919559
1466,326,951046
1467,326,177314
1468,326,1102459
1469,326,825823
1470,327,1554098
1471,328,1244600
1472,328,1414855
1473,328,1636957
1474,328,667184
1475,329,50469
1476,329,1702992
1477,329,489369
1478,329,551085
1479,329,461990
1480,329,1379075
1481,329,319989
1482,329,959484
1483,329,1813071
1484,329,566519
1485,329,987527
1486,329,674199
1487,329,1860804
1488,329,1526419
1489,329,1368008
1490,329,114166
1491,329,626244
1492,329,712119
1493,329,208269
1494,329,1096691
1495,329,675225
1496,330,1856967
1497,330,822892
1498,330,1148848
1499,330,1062579
1500,330,417887
1501,330,1645373
1502,330,277401
1503,330,1708494
1504,331,1620848
1505,332,738260
1506,333,1278107
1507,334,564953
1508,335,609926
1509,335,228132
1510,335,125626
1511,335,1502353
1512,335,954714
1513,335,144698
1514,335,213411
1515,335,93171
1516,335,1489050
1517,335,655455
1518,335,101927
1519,335,314438
1520,335,314492
1521,335,1243213
1522,335,888232
1523,335,1687086
1524,337,1599750
1525,337,1538929
1526,337,493100
1527,337,301135
1528,337,1606580
1529,337,65396
1530,337,1389686
1531,337,1470623
1532,337,737742
1533,337,400248
1534,337,373836
1535,337,205252
1536,337,1467878
1537,337,49405
1538,337,324612
1539,337,239566
1540,337,622495
1541,337,117768
1542,337,385841
1543,337,1056229
1544,337,185291
1545,337,1309462
1546,337,1091582
1547,337,1414041
1548,338,956383
1549,338,1824774
1550,338,212034
1551,338,1522372
1552,339,1785998
1553,339,1340710
1554,339,457931
1555,339,1663046
1556,339,708786
1557,341,876004
1558,342,1523461
1559,343,1755244
1560,343,1816238
1561,345,1840474
1562,346,287647
1563,348,1483755
1564,348,107160
1565,348,767326
1566,348,1034278
1567,348,651161
1568,348,774834
1569,348,1459736
1570,348,316844
1571,348,589305
1572,348,1403739
1573,348,1368333
1574,348,887016
1575,348,1013668
1576,348,1744655
1577,348,1245618
1578,348,536783
1579,348,471180
1580,348,1599625
1581,348,354645
1582,348,374051
1583,348,166826
1584,348,979542
1585,348,28222
1586,348,988344
1587,348,747536
1588,348,209084
1589,348,979241
1590,348,1312206
1591,348,1595906
1592,349,1356233
1593,349,1093408
1594,349,500415
1595,349,1365
1596,350,185606
1597,350,1683180
1598,350,530797
1599,350,1420593
1600,350,331955
1601,350,1051310
1602,350,823048
1603,350,1445314
1604,350,5945
1605,350,1794520
1606,350,600546
1607,354,1519941
1608,355,1574612
1609,355,295279
1610,355,1765655
1611,355,521669
1612,355,1187941
1613,355,1543270
1614,355,195894
1615,355,985649
1616,355,1765937
1617,355,1719050
1618,356,381917
1619,359,834326
1620,359,1679605
1621,360,1180242
1622,360,826625
1623,360,1142534
1624,361,1046512
1625,361,242116
1626,361,933461
1627,361,1324641
1628,362,1581256
1629,363,129963
1630,363,1307459
1631,363,1023456
1632,363,140694
1633,363,1154677
1634,363,722453
1635,363,438526
1636,363,1803311
1637,363,1286663
1638,363,1175375
1639,363,493205
1640,363,1299909
1641,364,1614021
1642,364,1457283
1643,364,784650
1644,364,932102
1645,364,407337
1646,365,1755378
1647,365,1451971
1648,365,1752461
1649,365,1020720
1650,365,1240361
1651,365,48626
1652,365,1290287
1653,366,34981
1654,366,80684
1655,367,572652
1656,367,437030
1657,367,1605453
1658,367,320776
1659,367,1253281
1660,368,315168
1661,369,593244
1662,369,453791
1663,369,917211
1664,369,1750036
1665,369,411358
1666,369,1581206
1667,369,307621
1668,369,775780
1669,369,102890
1670,370,170576
1671,370,174803
1672,370,909565
1673,370,877776
1674,370,149700
1675,371,847659
1676,372,614662
1677,372,299087
1678,373,838386
1679,373,1173145
1680,373,926652
1681,373,1068131
1682,373,90100
1683,373,1076087
1684,373,1303479
1685,373,1602181
1686,373,1204192
1687,373,1573363
1688,374,1091448
1689,375,686804
1690,376,1565343
1691,377,26533
1692,377,1619071
1693,378,1230866
1694,379,1657553
1695,379,1157408
1696,379,1772012
1697,379,19749
1698,379,970037
1699,379,456354
1700,379,662623
1701,379,1698173
1702,379,1220529
1703,379,359098
1704,379,1495430
1705,379,1690095
1706,379,1740443
1707,379,781761
1708,379,1212234
1709,380,287376
1710,380,612447
1711,380,1243655
1712,380,1127218
1713,380,568742
1714,380,1822123
1715,380,1629116
1716,380,113958
1717,380,573341
1718,380,301192
1719,380,221182
1720,380,727310
1721,380,168233
1722,381,1635498
1723,381,1272160
1724,382,170590
1725,382,1536162
1726,384,953261
1727,384,1019501
1728,384,962943
1729,384,854927
1730,384,1073397
1731,384,112917
1732,384,1082477
1733,384,260003
1734,384,694391
1735,384,1504543
1736,384,999316
1737,384,1265544
1738,385,590620
1739,386,983610
1740,387,159299
1741,387,894410
1742,387,532236
1743,387,990280
1744,387,506898
1745,388,679486
1746,388,887588
1747,389,692389
1748,389,203389
1749,389,1021544
1750,389,1324806
1751,389,1085518
1752,390,541121
1753,390,1346180
1754,390,1567730
1755,391,1538838
1756,391,1511375
1757,391,692441
1758,391,912518
1759,391,1463587
1760,392,582676
1761,392,21300
1762,392,1365469
1763,392,289492
1764,393,801263
1765,393,282465
1766,393,1672661
1767,393,470316
1768,393,787314
1769,393,609425
